run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,workflow_mode,workflow_count,success_rate,avg_workflow_latency_ms,p50_workflow_latency_ms,p95_workflow_latency_ms,min_workflow_latency_ms,max_workflow_latency_ms,avg_agent_count,avg_workflow_latency_s
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,concurrent,2,1.0,5783.592738211155,5783.592738211155,6270.599534735084,5242.47407540679,6324.71140101552,5.0,5.783592738211155
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrent,2,1.0,6795.07957957685,6795.07957957685,7773.85440710932,5707.551993429661,7882.607165724039,5.0,6.79507957957685
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrent,2,1.0,14137.434428557754,14137.434428557754,14703.054888732731,13508.967250585556,14765.901606529951,5.0,14.137434428557754
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrent,2,1.0,15100.906426087022,15100.906426087022,16022.694802843034,14076.697118580341,16125.115733593702,5.0,15.100906426087022
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,concurrent,2,1.0,32368.124848231673,32368.124848231673,33459.66578442603,31155.301585793495,33580.94811066985,5.0,32.36812484823167
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,sequential,2,1.0,22569.73909214139,22569.73909214139,23008.487825468183,22082.240499556065,23057.237684726715,5.0,22.56973909214139
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,sequential,2,1.0,24572.657512500882,24572.657512500882,25722.369151748717,23295.200135558844,25850.11488944292,5.0,24.572657512500882
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,sequential,2,1.0,68792.39197447896,68792.39197447896,69399.44514930248,68117.88844689727,69466.89550206065,5.0,68.79239197447896
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,sequential,2,1.0,70386.64515130222,70386.64515130222,71239.64185062796,69438.87104094028,71334.41926166415,5.0,70.38664515130222
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,sequential,2,1.0,132766.48696884513,132766.48696884513,136304.60711941123,128835.24235710502,136697.73158058524,5.0,132.76648696884513
