run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,concurrency,p50_latency_ms,p95_latency_ms,p99_latency_ms,requests_per_second,suite_latency_ms,success_count,error_count,total_tasks,detail_count,detail_success_rate,detail_error_count,avg_latency_ms,detail_p50_latency_ms,detail_p95_latency_ms,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,avg_tokens_per_second,p50_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate,success_rate,error_rate,latency_per_output_token_ms
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,1,313.30902874469757,1371.833000332117,1371.833000332117,2.5532976229599025,3916.5038615465164,10.0,0.0,10.0,10,1.0,0,386.631727963686,313.30902874469757,972.052256204187,133.13177563250065,28.94258312880993,605.6385172530997,78.8972532353794,89.36865556529935,39.5,31.6,1.0,,1.0,0.0,12.235181264673606
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,3,374.4330368936062,1101.9360572099686,1759.1409869492054,4.7322077336104185,3169.767864048481,15.0,0.0,15.0,15,1.0,0,488.1663536032041,374.4330368936062,1299.097536131739,169.64371601740518,40.94801843166351,675.7208455353971,63.34398330364117,74.77972625571525,40.0,32.0,1.0,,1.0,0.0,15.255198550100127
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,5,412.5964120030403,680.1782511174679,1311.1550137400627,8.651302675353836,2889.7382207214832,25.0,0.0,25.0,25,1.0,0,401.89300805330276,412.5964120030403,676.248537003994,89.03592348098755,43.02505403757095,94.685597717762,63.007228573511604,67.86292654380541,39.8,31.68,1.0,,1.0,0.0,12.686016668349204
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,10,504.2584929615259,821.104496717453,1448.8001503050327,14.905918561895634,3354.372277855873,50.0,0.0,50.0,50,1.0,0,450.5538333207369,504.2584929615259,820.5228731036186,86.07560008764267,63.33833187818527,104.74149212241173,52.458743880315005,54.768533945891384,39.88,31.06,1.0,,1.0,0.0,14.50591865166571
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,1,353.44898886978626,1985.5869375169277,1985.5869375169277,2.058529919545639,4857.83563554287,10.0,0.0,10.0,10,1.0,0,481.15822076797485,353.44898886978626,1333.249551802872,208.39167274534702,46.0699163377285,939.0389539301378,68.31808552074281,79.21976906812765,39.5,31.6,1.0,,1.0,0.0,15.226525973670089
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,3,381.18976354599,632.6477043330669,1854.647010564804,4.521282104509665,3317.643016576767,15.0,0.0,15.0,15,1.0,0,440.8144568403562,381.18976354599,999.2474962025867,163.81156345208487,57.86558240652084,542.9961722344144,64.60665249854844,73.45422851739785,40.0,32.0,1.0,,1.0,0.0,13.77545177626113
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,5,369.4843798875809,674.3997558951378,2211.6700299084187,6.737143162366696,3710.7716724276543,25.0,0.0,25.0,25,1.0,0,425.93782275915146,369.4843798875809,659.532894939184,145.25919631123543,56.02716654539108,157.353974878788,65.4261541981592,75.78128203557418,39.8,31.8,1.0,,1.0,0.0,13.394271155948159
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,10,407.468032091856,751.3331323862076,2266.735576093197,12.845617920767632,3892.3779539763927,50.0,0.0,50.0,50,1.0,0,410.96918269991875,407.468032091856,749.5413647964597,126.28302298486233,71.88794389367104,203.26832123100758,61.52080508227699,67.90651708257002,39.88,31.3,1.0,,1.0,0.0,13.130005837058107
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,1,806.2121104449034,1901.4068618416786,1901.4068618416786,0.9843534516971436,10158.952541649342,10.0,0.0,10.0,10,1.0,0,1011.1528623849154,806.2121104449034,1901.3048691675067,142.29957722127438,41.04732349514961,602.4166926741589,32.56673175726748,34.730314366161096,39.5,40.9,1.0,,1.0,0.0,24.72256387249182
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,3,817.9326616227627,2123.8530911505222,2192.706096917391,2.1418355944104825,7003.338649868965,15.0,0.0,15.0,15,1.0,0,1070.263348519802,817.9326616227627,2144.508992880583,155.7266153395176,58.453742414712906,506.556950137018,29.757080773094444,34.232646908180115,40.0,42.333333333333336,1.0,,1.0,0.0,25.281811382357528
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,5,894.0155357122421,2127.152092754841,2201.743222773075,3.4860252290228,7171.491414308548,25.0,0.0,25.0,25,1.0,0,1064.624116718769,894.0155357122421,2126.9298426806927,118.18140476942062,64.27395343780518,110.24777293205261,29.295891282097163,31.319366254293364,39.8,41.72,1.0,,1.0,0.0,25.51831535759274
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,10,961.8220031261444,2329.9053609371185,2393.1594975292683,6.603538027845351,7571.698654443026,50.0,0.0,50.0,50,1.0,0,1100.723978355527,961.8220031261444,2329.2840825393796,102.01361656188965,72.98159599304199,124.80236142873764,27.20092967635396,29.069219702549592,39.88,41.22,1.0,,1.0,0.0,26.703638485092842
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,1,852.0713206380606,2667.1525947749615,2667.1525947749615,0.8755808494688408,11420.989856123924,10.0,0.0,10.0,10,1.0,0,1135.8975559473038,852.0713206380606,2356.70554768294,244.6161463856697,60.164935886859894,1072.1457153558713,29.6635934383332,32.861699367449546,39.5,40.9,1.0,,1.0,0.0,27.77255638012968
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,3,866.487268358469,2067.3173367977142,2980.289191007614,1.8893185323280086,7939.370594918728,15.0,0.0,15.0,15,1.0,0,1119.6912263830502,866.487268358469,2341.2088930606833,216.2895175317923,62.22018972039223,765.5800990760305,29.37026417788372,32.314381321545625,40.0,42.0,1.0,,1.0,0.0,26.65931491388215
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,5,853.8560159504414,2113.7145198881626,2561.171665787697,3.3193767673266237,7531.534306704998,25.0,0.0,25.0,25,1.0,0,1058.493221849203,853.8560159504414,2101.410748064518,140.77824264764786,54.77394536137581,171.25981003046036,29.886622261184947,32.792414033451216,39.8,41.76,1.0,,1.0,0.0,25.347059910182068
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,10,909.0746510773897,2271.2796963751316,2798.734337091446,6.234996420070357,8019.250795245171,50.0,0.0,50.0,50,1.0,0,1075.9734147042036,909.0746510773897,2255.917932651937,148.2858169823885,83.78023281693459,249.18665941804647,27.712765705810554,30.667392286227035,39.88,41.12,1.0,,1.0,0.0,26.166668645530244
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,1,1787.2936856001616,4014.4537650048733,4014.4537650048733,0.48978956959424813,20416.931312531233,10.0,0.0,10.0,10,1.0,0,2032.9022444784641,1787.2936856001616,3722.348741069435,307.3506247252226,83.17960612475872,1319.4361450150586,16.688966016889335,15.666211679340767,39.5,36.7,1.0,,1.0,0.0,55.39243172965842
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,3,1836.951483041048,3550.3392778337,4282.443352043629,1.1161803990387194,13438.68787959218,15.0,0.0,15.0,15,1.0,0,2039.8000657558441,1836.951483041048,3769.970500096678,260.72700520356494,83.24478566646576,879.0075022727226,16.458013337875425,15.242645360260894,40.0,37.666666666666664,1.0,,1.0,0.0,54.153984046615335
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,5,1897.3204344511032,3653.6293663084507,4138.424139469862,1.854192459355079,13482.958510518074,25.0,0.0,25.0,25,1.0,0,2023.8643541932106,1897.3204344511032,3633.8792271912093,219.82482329010963,126.09423696994781,224.82871860265732,15.905179110362512,14.757654791242699,39.8,37.28,1.0,,1.0,0.0,54.28820692578354
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,10,1939.8885034024715,3792.276170104742,4226.249031722546,3.639023349452196,13739.950310438871,50.0,0.0,50.0,50,1.0,0,2005.519645139575,1939.8885034024715,3786.920708976686,203.69151309132576,128.99448908865452,305.2348958328366,15.473292859504358,14.340167287676753,39.88,36.8,1.0,,1.0,0.0,54.4978164440102
